2023-12-05 19:04:51,Draw, First Move: {'player': 'X', 'position': (0, 1)}, First Player Result: Draw
2023-12-05 19:05:11,Winner:O, First Move: {'player': 'X', 'position': (0, 0)}, First Player Result: Loss
2023-12-05 19:05:14,Winner:X, First Move: {'player': 'X', 'position': (1, 1)}, First Player Result: Win
2023-12-05 19:05:17,Winner:O, First Move: {'player': 'X', 'position': (0, 1)}, First Player Result: Loss
2023-12-05 19:05:18,Winner:X, First Move: {'player': 'X', 'position': (1, 1)}, First Player Result: Win
2023-12-05 19:05:20,Draw, First Move: {'player': 'X', 'position': (1, 2)}, First Player Result: Draw
2023-12-05 19:05:21,Winner:O, First Move: {'player': 'X', 'position': (1, 1)}, First Player Result: Loss
2023-12-05 19:05:22,Winner:X, First Move: {'player': 'X', 'position': (0, 2)}, First Player Result: Win
2023-12-05 19:05:23,Winner:X, First Move: {'player': 'X', 'position': (2, 2)}, First Player Result: Win
2023-12-05 19:05:25,Winner:X, First Move: {'player': 'X', 'position': (2, 2)}, First Player Result: Win
2023-12-05 19:05:26,Winner:O, First Move: {'player': 'X', 'position': (2, 1)}, First Player Result: Loss
2023-12-05 19:05:28,Winner:O, First Move: {'player': 'X', 'position': (1, 1)}, First Player Result: Loss
2023-12-05 19:05:29,Winner:X, First Move: {'player': 'X', 'position': (2, 0)}, First Player Result: Win
2023-12-05 19:05:30,Winner:O, First Move: {'player': 'X', 'position': (2, 1)}, First Player Result: Loss
2023-12-05 19:05:32,Draw, First Move: {'player': 'X', 'position': (2, 1)}, First Player Result: Draw
2023-12-05 19:05:33,Draw, First Move: {'player': 'X', 'position': (2, 2)}, First Player Result: Draw
2023-12-05 19:05:35,Draw, First Move: {'player': 'X', 'position': (2, 0)}, First Player Result: Draw
2023-12-05 19:05:36,Winner:X, First Move: {'player': 'X', 'position': (2, 1)}, First Player Result: Win
2023-12-05 19:05:38,Draw, First Move: {'player': 'X', 'position': (2, 1)}, First Player Result: Draw
2023-12-05 19:06:13,Winner:O, First Move: {'player': 'X', 'position': (0, 2)}, First Player Result: Loss
2023-12-05 19:06:15,Winner:X, First Move: {'player': 'X', 'position': (0, 1)}, First Player Result: Win
2023-12-05 19:06:16,Winner:X, First Move: {'player': 'X', 'position': (2, 0)}, First Player Result: Win
2023-12-05 19:06:20,Winner:O, First Move: {'player': 'X', 'position': (1, 1)}, First Player Result: Loss
2023-12-05 19:06:33,Winner:X, First Move: {'player': 'X', 'position': (2, 2)}, First Player Result: Win
2023-12-05 19:06:35,Winner:O, First Move: {'player': 'X', 'position': (0, 0)}, First Player Result: Loss
2023-12-05 19:06:36,Winner:X, First Move: {'player': 'X', 'position': (1, 0)}, First Player Result: Win
2023-12-05 19:06:37,Draw, First Move: {'player': 'X', 'position': (0, 1)}, First Player Result: Draw
2023-12-05 19:06:39,Draw, First Move: {'player': 'X', 'position': (0, 1)}, First Player Result: Draw
2023-12-05 19:06:41,Winner:O, First Move: {'player': 'X', 'position': (1, 1)}, First Player Result: Loss
2023-12-05 19:06:42,Winner:O, First Move: {'player': 'X', 'position': (2, 0)}, First Player Result: Loss
2023-12-05 19:06:44,Winner:O, First Move: {'player': 'X', 'position': (1, 2)}, First Player Result: Loss
2023-12-05 19:06:45,Winner:X, First Move: {'player': 'X', 'position': (0, 1)}, First Player Result: Win
2023-12-05 19:06:46,Draw, First Move: {'player': 'X', 'position': (2, 0)}, First Player Result: Draw
2023-12-05 19:06:48,Winner:X, First Move: {'player': 'X', 'position': (0, 0)}, First Player Result: Win
2023-12-05 19:06:49,Draw, First Move: {'player': 'X', 'position': (1, 2)}, First Player Result: Draw
2023-12-05 19:06:50,Winner:X, First Move: {'player': 'X', 'position': (1, 1)}, First Player Result: Win
2023-12-05 19:06:52,Winner:X, First Move: {'player': 'X', 'position': (1, 1)}, First Player Result: Win
2023-12-05 19:06:53,Winner:X, First Move: {'player': 'X', 'position': (1, 1)}, First Player Result: Win
2023-12-05 19:06:55,Winner:X, First Move: {'player': 'X', 'position': (0, 0)}, First Player Result: Win
2023-12-05 19:06:56,Draw, First Move: {'player': 'X', 'position': (0, 1)}, First Player Result: Draw
2023-12-05 19:06:57,Winner:O, First Move: {'player': 'X', 'position': (0, 1)}, First Player Result: Loss
2023-12-05 19:06:59,Winner:O, First Move: {'player': 'X', 'position': (1, 1)}, First Player Result: Loss
2023-12-05 19:07:00,Draw, First Move: {'player': 'X', 'position': (2, 0)}, First Player Result: Draw
2023-12-05 19:07:01,Winner:X, First Move: {'player': 'X', 'position': (1, 1)}, First Player Result: Win
